Title,Directions,Quantity,Ingredient,Unit01,Quantity02,Unit02,Quantity03,Unit03,Quantity04,Unit04,Quantity05,Unit05,Quantity06,Unit06,Quantity07,Unit07,Quantity08,Unit08,Quantity09,Unit09,Quantity10,Unit10,Quantity11,Unit11,Quantity12,Unit12,Quantity13,Unit13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Quantity16,Unit16,Quantity17,Unit17,Quantity18,Unit18,Quantity19,Unit19,Category
Chicken Cashew,"Skin, bone and cut chicken into bit-size pieces. Put chicken in a casserole and cook, covered, until opaque and tender. Stir several times during cooking. Add pea pods (break off ends and remove strings), onions and mushrooms; stir. Cook, covered for 2 minutes. Add bamboo shoots and water chestnuts.

Mix chicken bouillon, soy sauce, cornstarch, sugar, pepper, salt. Add to chicken mixture. Stir. Cook covered until the sauce has thickened and the food is well heated. Stir in cashews. Serve with rice. Makes 6 servings.",3,"chicken breasts,pea pods, fresh or frozen,mushrooms, sliced,green onions, sliced,bamboo shoots, drained,water chestnuts, sliced,chicken boullion,soy sauce,cornstarch,sugar,pepper,salt,cashews",,02-Jan,pound,1,cup,02-Jan,cup,6,ounces,02-Jan,cup,1,tsp,04-Jan,cup,2,tbsp,02-Jan,tsp,,dash,02-Jan,tsp,2,ounces,,,,,,,,,,,,,,Breakfast
Chicken Lo Mein,"Marinate chicken in mixture of soy sauce, sherry, and cornstarch.

Cook chicken in oil in a wok and remove when d1.

Cook green onions, mushrooms, pea pods, and pepper. Add the bouillon and stir in chicken.

Serve over linguini",2,"chicken breast, sliced and marinated,soy sauce,sherry,cornstarch,green onion, sliced,mushrooms,pea pods,red pepper, chopped,chicken boullion,linguini",,3,tbsp,1,tbsp,2,tbsp,2,,6,,14,pounds,1,large,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,Breakfast
Chicken Paprika,Mix first 8 ingredients in a bag and shake the chicken to coat. Brown the chicken in hot oil. Place in large baking dish. Saute the garlic in oil for 1 minute. Blend in remaining ingredients. Stir and heat. Pour over chicken. Bake uncovered for 1 hour at 325 degrees.,1,"flour,paprika,cayenne,ginger,nutmeg,basil,salt,pepper,chicken, skinned and b1d,oil,garlic, large,chicken broth,sour cream,worchestershire sauce,mushrooms",cup,2 1/2,tsp,02-Jan,tsp,04-Jan,tsp,04-Jan,tsp,1,tsp,02-Jan,tsp,04-Jan,tsp,10,pieces,4,tbsp,1,clove,2 1/2,cups,2,cups,1,cup,dry sherry,2,tbsp,,,,,,,,,Breakfast
Chicken Schnitzel,"On a plate combine 4 tablespoons of flour with salt and pepper. On a second plate, combine bread crumbs, paprika and garlic powder.

In a large skillet, heat the oil; dredge each cutlet in seas1d flour, dip in beaten egg, coat in bread crumbs, then place in a skillet. Quickly brown chicken for about 2 minutes on both sides. Remove chicken to plate and keep warm.

In the same skillet, combine onion and apple and saute over medium heat until sof10ed, about 5 minutes. Sprinkle remaining flour over mixture and stir to combine. Gradually stir in broth and bring to boil, stirring constantly.

To serve, spoon sauerkraut mixture on to center of serving plate and surround with chicken pieces; garnish chicken with lemon slices.",03-Jan,"flour,salt,pepper,bread crumbs, dried,paprika,garlic powder,vegetable oil,chicken cutlets, pounded to 1/8 inch thick,eggs, lightly bea10,onion,apples, cored, pared, thinly sliced,chicken broth,sauerkraut,lemons, thinly sliced",cup,08-Jan,tsp,08-Jan,tsp,03-Jan,cup,08-Jan,tsp,03-Jan,tsp,3,tbsp,4,,2,,1,cup,2,,1 1/2,cups,4,cups,4,tbsp,raisins,2,,,,,,,,,,Breakfast
Chicken with Artichoke,"Dip chicken in flour, brown in oil. Place in baking dish. Put mushrooms and artichokes over chicken. Make sauce in skillet drippings with wine and onion. Pour over chicken. Cover with foil. Bake for 45 minutes at 350 degrees. Serve with rice.",2,"chicken breast, split,chicken thighs,butter,flour,salt and pepper,mushrooms, sliced,artichokes,onion, grated,white sauterne wine",,4,,,,,,,,,,1,can,1,tbsp,1,cup,,,,,,,,,,,,,,,,,,,,,,Breakfast
Coq au Vin,"Cook pork, stirring until crisp and well browned. Lift out, set aside. Brown chicken parts, set aside. Stir in wine, broth and mustard. Add meat and chicken. Cover and simmer 35 to 40 minutes. Add cornstarch.",1,"chicken,pork shoulder steak, cut into 1/2 inch cubes,boiling onions,mushrooms,chicken broth,dry red wine,dijon mustard,cornstarch and water,parsely, chopped",,03-Jan,pound,8,small,02-Jan,pound,1 3/4,cups,1,cups,2,tbsp,1,tsp,2,tbsp,,,,,,,,,,,,,,,,,,,,,,Breakfast
Creamy Chicken Broccoli with Rice,Heat salad dressing in a large skillet. Add chicken and completely cook for about 8 minutes. Stir in broccoli and cook until heated. Add Velveeta and stir until thoroughly melted. Serve over rice.,02-Jan,"miracle whip,b1less, skinless chicken breast, cubed,broccoli, chopped,Velveeta,rice",cups,1,pound,2,cups,02-Jan,pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
In a Hurry Chicken Curry,"Cut chicken into 1 inch cubes. Heat 2 tablespoons of oil over medium-high heat in a large skillet or wok. Add chicken and saute, stirring for about 5 minutes. Remove to side dish. Place remaining tablespoon of oil in the skillet and cook white onion, garlic and green onion until 10der. Stir in curry, ginger and cornstarch. Slowly add chicken broth; stir until smooth. Add broccoli, apple, raisins and cooked chicken. Cover and simmer for 10 minutes. Serve on a bed of rice and garnish with chopped peanuts. Makes 4 servings.",1,"skinless b1less chicken breasts,vegetable oil,white onions, chopped,garlic, minced,green onions, sliced,curry powder,powdered sugar,cornstarch,chicken broth,broccoli florets, bite size pieces,cooking apple, cored and chopped,raisins,chopped peanuts",pound,3,tbsp,02-Jan,cup,2,cloves,04-Jan,cup,2,tsp,1,tsp,2,tbsp,1 1/2,cups,02-Jan,pound,1,large,02-Jan,cup,04-Jan,cup,,,,,,,,,,,,,,Breakfast
Jack Zucchini Chicken,"Preheat oven to 350 degrees. Shred zucchini through the large holes of a grater, then squeeze it firmly, a handful at a time to extract much of the juice. Toss the zucchini with the green onion and set aside. Stir together the flour, chili powder and 1 teaspoon of salt and set aside.",3,zucchini,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
,"Heat the butter in a skillet over moderate heat. Toss the chicken breasts in the flour mixture, shaking them so the excess falls off, then cook in butter for about 3 to 4 minutes on each side, until lightly browned. Arrange the chicken in a single layer in a buttered casserole and cover each with a mound of the zucchini mixture. Sprinkle lightly with salt and pepper and cover with slices of cheese. Bake uncovered for about 20 minutes, until the cheese is lightly browned and the chicken is cooked through.",04-Jan,"green onions, chopped,flour,chili powder,butter,chicken breast halves, b1d and skinned,freshly ground pepper,jack cheese",cup,04-Jan,cup,1,tbsp,3,tbsp,4,,,,04-Jan,pound,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Maryland Fried Chicken,"Shake chicken with flour, salt and pepper in a plastic bag until thoroughly coated. Reserve 1 tablespoon of the flour mixture.

Pour enough oil into a large deep skillet to make a half inch depth. Heat to 375 degrees on a deep-fat frying thermometer or until a cube of bread turns golden in about 6ty seconds.

Carefully place a single layer of chicken pieces in hot oil; do not crowd pan. Cover and fry for 5 minutes. Uncover and fry until underside is a rich golden brown. Turn pieces, cover and fry for 5 more minutes. Uncover and fry until golden brown. Remove from skillet and drain on paper towels. Repeat with remaining chicken. Pour off oil from skillet. Return 2 tablespoons of oil to the skillet. Add water. Return all chicken to the skillet, skin side up. Cover and cook over low heat for 20 minutes or until chicken is 10der. Remove to serving platter and keep warm. Pour off fat from skillet.

Melt butter in skillet. Sprinkle reserved 1 tablespoon seas1d flour over butter and cook for 1 minute. Add milk, stirring and scrapping up brown bits. Cook, stirring constantly until thickened. Spoon some of the gravy over chicken and pour remainder into a gravy boat and serve separately.",3.5,"broiler chicken, cut up,all-purpose flour,salt,pepper,vegetable oil,water,butter,milk",pound,02-Jan,cup,02-Jan,tsp,04-Jan,tsp,,,04-Jan,cup,1,tbsp,1,cup,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Oven Fried Chicken,"Mix soup, milk, onion, and parley. Dip chicken in this, then into crumbs. Bake at 400 degrees for 1 hour. Drizzle butter over chicken.",2,"chicken parts,cream of mushroom soup,milk,onion, chopped,parsley, chopped,crushed stuffing mix,butter",pounds,1,can,04-Mar,cup,1,tbsp,1,tbsp,1,cup,2,tbsp,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Parsley and Parmasen Baked Chicken,"Marinate chicken for 4 hours in the dressing. Spoon over and turn occasionally. Drain. Reserve dressing. Combine eggs and water. Mix the rest of the ingredients in a plastic bag. Dip chicken in egg, then in crumbs and return to baking dish. Spoon dressing on top. Bake at 350 degrees for 40 to 50 minutes.",04-Jan,"Italian salad dressing,chicken, cut up,egg,water,parmasen cheese,bread crumbs,parsley,salt,paprika,pepper",cup,1,,1,,2,tbsp,02-Jan,cup,03-Jan,cup,2,tbsp,02-Jan,tsp,02-Jan,tsp,08-Jan,tsp,,,,,,,,,,,,,,,,,,,,Breakfast
"Sandra's ""Tree Trimmer"" Chicken","Brown chicken in marinade from artichokes. Put raw rice in bottom of large baking dish. Lay chicken on top. Add artichokes, mushrooms, onion, and hand in layers. Pour other ingredients over this. Cover and bake for 1 hour. Remove cover. Bake for another half hour or until thick and chicken is browned.",2,"marinated artichoke hearts,chicken parts,salt, pepper, flour,sliced mushrooms,Uncle Ben's Converted Rice,slivered ham,salt,sliced onion,mashed garlic,can Italian style tomatoes,red wine,Italian seasoning,parsley",jars,3,pounds,,,1,cup,1 1/2,cups,02-Jan,cup,02-Jan,tsp,1,large,1,clove,1,large,02-Jan,cup,04-Mar,tsp,,,,,,,,,,,,,,,,Breakfast
Saute'd Chicken Breats,"Brown chicken with paprika. Cook 15 minutes. Remove to warm platter. Cook mushrooms in wine. Add bouillon, 4, and seasonings. Put rice on platter with chicken. Pour mushroom sauce over all.",2,"chicken breasts, skinned and b1d,mushrooms, sliced,butter,wine cooler,bouillon,flour,garlic,salt,pepper,paprika,cooked rice",,1,cup,,,04-Jan,cup,1,cup,1,tbsp,,,,,,,,,1,cup,,,,,,,,,,,,,,,,,,Breakfast
Saute'd Chicken Livers,Rinse livers and drain. Shake in flour. Brown in butter a few at a time on medium high heat. Drain excess butter. Put livers in a large skillet. Add all other ingredients. Simmer about 30 minutes with the lid on. Turn of10. Uncover and cook about 15 minutes until slightly dry and sauce is thick.,1,"chicken livers,butter,onions, minced,flour,salt and pepper,dry white wine,poultry seasoning,parsley,oregano,salt,mushrooms, sliced",pound,04-Jan,cup,04-Jan,cup,04-Jan,cup,,,02-Jan,cup,04-Jan,tsp,1,tbsp,04-Jan,tsp,,,04-Jan,pound,,,,,,,,,,,,,,,,,,Breakfast
Spicy Singapore Wings,"If using wings, remove and discard tips; cut wings into 2 pieces at the joint. Broil chicken 20 to 25 minutes, or deep fat fry at 375 degrees for 10 to 12 minutes. Combine remaining ingredients. Brush sauce on wings or drummettes to coat evenly. Makes 14 to 20 hot appetizers.",1,"chicken wings or drumettes,soy sauce,Louisiana-style hot sauce,melted butter or margarine,h1y,garlic powder,ground ginger",pkg,2,tbsp,2,tbsp,2,tbsp,1 1/2,tsp,,dash,,dash,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Turkey Tenderloin Supreme,"Melt butter in skillet on medium high. Add turkey and onion. Cook 5 minutes, turning occasionally. Stir in soup. Reduce heat. Cover. Simmer for 20 minutes. Remove turkey to platter. Add cheese to skillet. Stir until melted. Serve over turkey and rice or noodles.",1,"turkey breast 10derloins,butter,onion, sliced into rings,cream of chicken soup,swiss cheese, shredded,hot cooked rice or noodles",pkg,1,tbsp,1,medium,1,can,1,cup,4,servings,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Asparagus Stir-Fried,"Snap asparagus at their breaking point, cut diagonally into 1 inch lengths and blanch in rapidly boiling, salted water. Heat a wok or skillet over moderately high heat, add oil and heat until very hot. Add garlic and ginger and stir-fry for several seconds. Add asparagus and stir-fry to coat with oil and heat through. Add stock, soy sauce and cornstarch and simmer for 2 to 3 minutes. Season to taste and serve.",1,"sparagus,oil,garlic, minced,fresh ginger, minced,chicken stock,soy sauce,cornstarch",pound,2,tbsp,1,clove,1,tsp,04-Jan,cup,2,tsps,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Baked Green Beans,,1,"fresh green beans,water,onion, minced,garlic, minced,dried tarragon,salt,pepper",pound,02-Jan,cup,1,tsp,1,clove,02-Jan,tsp,04-Jan,tsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Baked Zucchini with Mushrooms,"Thinly sliced mushrooms and chop onion; combine in a 10 to 12 inch frying pan with half a cup of water. Stir often on high heat until liquid evaporates and browned bits stick to pan. To deglaze pan, add 1 third cup of broth and stir browned bits free. Repeat deglazing step until onion is golden brown, 2 or 3 more times, using 1 third cup broth each time.

Beat eggs to blend; stir in zucchini crumbs, cheese, oregano, pepper, and mushroom mixture. Pour into a buttered 10 by 12 inch shallow oval casserole (or a 9 by 13 inch rectangle). Bake in a 325 degree oven until set in center when shaken, about 45 minutes top with green onions.",1,"mushrooms, rinsed,onion,chicken broth,eggs,zucchini, shredded,fine dried bread crumbs,parmasen cheese, grated,dried oregano,pepper,green onion, minced",pound,1,medium,1 1/2,cups,3,large,4,large,02-Jan,cup,04-Jan,cup,02-Jan,tsp,02-Jan,tsp,2,tbsp,,,,,,,,,,,,,,,,,,,,Breakfast
Bit O' Zucchini Bites,"In a large skillet cook onion and garlic in butter or margarine until onion is tender but not brown. Add zucchini and stir about 2 minutes or till crisp-tender. Remove from heat.

In a bowl mix eggs, cheese, cornmeal, cumin, oregano, and zucchini mixture. Spoon a scant 2 tablespoons of the egg mixture into individual greased 1 and 3 quarter inch muffin pans. Bake at 325 degrees for 15 to eighteen minutes or until set. Remove from pans. Or, pour all the batter into a greased 8 by 8 by 2 inch baking pan. Bake for 20 to 25 minutes or until set. Cut in bite size squares. Serve hot. Makes about 24 appetizers.",02-Jan,"onion, chopped,garlic, minced,butter or margarine,zucchini, shredded,eggs, slightly bea10,monterey jack cheesed, shredded,cornmeal,cumin seed, crushed,dried oregano, crushed",small,1,clove,1,tbsp,1 1/2,cups,3,,1 1/2,cups,3,tbsps,04-Jan,tsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,Breakfast
Cheesy Spinach Bake,Combine. Pour into 1 quart dish. Bake at 375 degrees for 25 minutes.,1,"spinach,eggs, bea10,milk,swiss cheese, shredded,white bread, cubed,green onion,parmesan cheese",can,4,,1,cup,1,cup,1,cup,02-Jan,cup,04-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Company Cabbage,"Melt butter. Add cabbage, garlic and 1/4 cup of water. Cover tightly, steam over low heat for 10-12 minutes. Blend next 4 ingredients. Stir into cabbage. Heat thoroughly, but do not boil. Sprinkle with seeds.",2,"butter,cabbage, shredded,garlic, minced,sour cream,sugar,vinegar,salt,caraway seed",tbsps,8,cups,1,clove,02-Jan,cup,1,tbsp,2,tbsps,1,tsp,02-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Crisp Potato Pancakes,Grate potatoes coarsely. Grate onion. Season with slat and pepper. Add bea10 egg. Form in 2 inch patties. Fry in 1/4 inch of hot oil. Serve with poached egg and salsa or sour cream and chives.,1 1/2,"red potatoes,onion, grated,salt,pepper,egg",pounds,1,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast
Easy Oven Baked Potatoes,"Cut potatoes and onions into 1/4 inch slices. Layer in baking dish. Combine remaining ingredients. Drizzle over top.

Bake at 350 degrees for 40 minutes covered. Uncover and bake 20 minutes more. Makes 8 servings.",6,"potatoes, unpeeled,onions,butter,garlic, crushed,salt,pepper,celery seed,paprika",medium,6,medium,02-Jan,cup,1,clove,04-Mar,tsp,04-Jan,tsp,04-Jan,tsp,04-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Eggplant Rollatini,"Heat broiler pan 4 inches from heat. In a small bowl, beat egg slightly with a fork; stir in ricotta, all but 1 tablespoon provolone, 2 tablespoons parsley and pepper and mix well. Set aside.

SLice eggplant into 12 lengthwise slices. Arrange in single layer on broiler pan; brush with vinaigrette. Broil 3 to 4 minutes until speckled with brown. Turn slices, brush with vinaigrette; broil 3 to 4 minutes until brown and 10der.

Adjust oven to 400 degrees. Spoon marinara over bottom of a 10 inch round shallow baking dish. Set aside.

Place broiled eggplant slices on work surface. Spread each with 2 tablespoons of the filling and sprinkle with 1/4 teaspoon of basil. Roll slices; jelly roll style. Dip each in sauce in baking dish to coat. Place seam side down. Cover in marinara. Cover with foil. Bake for 35 minutes. Sprinkle with reserved mozzarella and fresh parsley.",1,"egg, seperated,ricotta cheese,mozzarella or provol1, coarsely grated,fresh parsley, chopped,pepper,eggplant,red wine vinaigrette,marinara sauce,dried basil",large,04-Mar,cup,02-Jan,cup,2,tbsps,04-Jan,tsp,1,large,04-Jan,cup,1,cup,1,tbsp,,,,,,,,,,,,,,,,,,,,,,Appetizer
Glazed Carrots,"Cut carrots in strips or rounds. Boil with butter, sugar and water to almost covered. Cook to fork tender. Stir in orange marmalade.",,"carrots,butter,powdered sugar,water,spoonful of orange marmalade",,04-Jan,cup,02-Jan,cup,,,1,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Green Beans Salerno,"Combine salad oil, vinegar and spaghetti sauce mix. Pour over drained beans. Chill.

Before serving, toss beans with shredded lettuce and crumbled bacon.",1,"salad oil,vinegar,package of dry spaghetti sauce mix,green beans, dried,shredded lettuce,crisp bacon, crumbled",cup,02-Jan,cup,1,pkg,2,cans,2,cups,6,slices,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Italian Zucchini,"Cut zucchini in thick slices. Saute onion and garlic in oil. Add squash, mushrooms, and seasonings. Simmer slowly until tender.",5 or 6,"zucchini,salad oil,garlic,onion,mushrooms,rosemary,salt,pepper,parsely, chopped,thyme,savory salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Mushrooms in Sour Cream,"In skillet, fry bacon until crisp. Drain on paper towel. Add onion and mushrooms. Saute 10 minutes on low heat. Stir in flour. Add cream and worcestershire sauce. Cook on low, stirring constantly. Spoon over toast. Sprinkle bacon on top.",8,"bacon, cut up,onion, minced,fresh mushrooms, sliced,flour,sour cream,worcestershire sauce,toast slices",slices,02-Jan,cup,1,pound,1,tsp,1,cup,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Orange Sweet Potatoes,"Peel and cut potatoes into 1/2 inch slices. Put potatoes in a large pot of water, butter and sugar. Boil to fork tender. Do not overcook. Save liquid.

Gently remove potatoes and layer in a 9x13 inch baking dish. Top with orange slices. Cook liquid down until syrupy. Pour over potatoes. Sprinkle with cinnamon.

Bake at 350 degrees for 30 to 40 minutes,",3,"sweet potatoes,water,butter,powdered sugar,oranges, sliced thin",large,4,cups,02-Jan,cup,1,cup,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Peas,Thicken liquid from peas and onions. Add other ingredients.,1,"frozen peas, cooked,small onions,sauterne wine,parsley flakes,salt,pepper,crisply fried bacon bits",pkg,1,can,02-Jan,cup,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Saute Zucchini,"Melt butter in skillet. Slice zucchini thin, Add garlic. Cover and simmer for 5 minutes. Sprinkle with parmesan cheese. Cover and cook 5 minutes longer.",2,"zucchini,garlic, minced,butter,parmesan cheese",small,1,clove,2,tbsps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Spinach Pie,"Preheat oven to 350 degrees. Let pastry sheets warm to room temperature, according to directions on package. In 1/4 cup hot butter in medium skillet, saute onion until golden, about 5 minutes. Add spinach; stir to combine onion. Remove from heat.

In a large bowl, beat eggs with rotary beater. With a wooden spoon, stir in cheese, parsely, dill, salt, pepper and spinach/onion mixture; mix well.

Brush a 13x9x2 inch baking pan lightly with some of the melted butter. In bottom of baking pan, layer 8 phyllo pastry sheets 1 by 1, brushing top of each with some of melted butter. SPread evenly with spinach mixture. (Keep unused pastry sheets covered with damp paper towels to prevent drying out.)

Cover with 8 more leaves, brushing each with butter; pour any remaining melted butter over the top. Using scissors, trim off any uneven edges of pastry. Cut through top pastry layer to form 18 rectangles, about 3 by 2 inches.

Bake 30 to 35 minutes, or until top crust is puffy and golden. Serve warm.

Makes 18 servings.",16,"phyllo pastry,butter or margarine,onion, finely chopped,frozen chopped spinach, thawed and drained,eggs,feta cheese, crumbled,parsley, chopped,fresh dill, chopped,salt,pepper,butter or margarine, melted",sheets,04-Jan,cup,02-Jan,cup,30,ounces,3,,02-Jan,pound,04-Jan,cup,2,tbsps,1,tsp,08-Jan,tsp,04-Mar,cup,,,,,,,,,,,,,,,,,,Appetizer
Spinach Souffle,Make white sauce using first 5 ingredients. Remove from heat. Stir in 3 beaten egg yolks. Add spinach. Fold in 3 stiffly beaten egg whites. Pore into a buttered dish. Bake at 400 degrees for 25 minutes. Serve at once.,2,"margarine, melted,flour,salt and pepper,worcestershire sauce,milk,eggs, seperated,spinach, cooked",tbsps,2,tbsps,02-Jan,tsp,1,tsp,04-Mar,cup,3,,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Spinach Strudels,"Butter baking sheets. Steam spinach for 5 minutes. Squeeze out moisture. Melt 6 tablespoons of butter in a heavy skillet over medium heat. Add shallots, cook for 3 minutes. Add spinach and cook until dry, about 8 minutes. Transfer to large bowl. Mix in all cheeses. Arrange 1 phyllo sheet on kitchen towel. Brush with melted butter. Sprinkle with 1 tablespoon of crumbs, top with second sheet, butter and crumbs. Repeat with third, butter and crumbs, spread 1/6 of spinach mix down 1 long side of pastry, 2 inches from edge. Fold 2 inches over filling, then fold in sides. Roll up. Put seam side down on baking sheet. Repeat with remaining filling and phyllo. Cut each strudel into 4 slices,cutting only 1/3 through. Brush with butter.

Bake at 350 degrees for 15 minutes. After brushing with egg increase to 400 degrees and bake for 5 minutes more. Cut rest of the way through. Arrange on platter with parsley sprigs.",3,"fresh spinach, stems removed,unsalted butter,shallots, chopped,gorgonzola cheese, crumbled,cream cheese, sof10ed,phyllo pastry sheets,unsalted butter, melted,dry bread crumbs,eggs, bea10,parsley sprigs",pounds,6,tbsp,24,,12,ounces,27,ounces,24,,1 1/2,cups,18,tbsp,2,,,,,,,,,,,,,,,,,,,,,,,Appetizer
Stuffed Zucchini,"Cook zucchini to fork tender. Slice lengthwise. Remove center pulp to bowl. Brown hambugrer or sausage with chopped onion. Mix with pulp. Add croutons that have been sof10ed in water boullion cube. Add spices to taste. Stir in 2 eggs. Mixture will be quite soft. Spoon into zucchini shells. Sprinkle with parmesan and melted butter or olive oil.

Bake 1/2 hour at 350 degrees until filling is set.",3,"zucchini,hamburger or sausage,onion, chopped,croutons,boullion cube,salt,pepper,garlic,thyme,oregano,sage,eggs,parmesan cheese",6 inch,02-Jan,pound,,,2,cups,1,,,,,,,,,,,,,,2,,,,,,melted butter or margarine,,,,,,,,,,,Appetizer
Summer Squash,"Boil squash until tender. Mash with butter, salt, pepper, worcestershire sauce, 2 eggs, cracker crumbs, onion and parmesan cheese. Put in casserole, top with paprika and bacon bits. Bake about 30 minutes.",,"summer squash,butter salt,pepper,worcestershire sauce,eggs,cracker crumbs,onion, grated,parmesan cheese,paprika,bacon bits, crisply fried",,,,,,,,2,,,,1,small,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,Side Dish
Sweet and Sour Red Cabbage,"Heat oil in skillet. add cabbage and apple. Combine rest of ingredients, pour over cabbage, Cover tightly. Cook over low heat, sit occasionally for 15-20 minutes, until tender.",3,"oil,red cabbage, shredded,unparred apple, cubed,brown sugar,vinegar,water,pepper,caraway seed",tbsp,6,cups,3,cups,03-Jan,cup,02-Jan,cup,03-Jan,cup,,,04-Mar,tsp,,,,,,,,,,,,,,,,,,,,,,,,Side Dish
The Spinach,"Thaw the spinach and wring as dry as possible in a kitchen towel. Put the butter and bacon into a large frying pan and saute until some of the fat is rendered. Add the onions and cook until pale golden. The bacon should not be crisp. Stir in the flour and milk cooking until thickened. Add nutmeg, rosemary, and beef stock base and blend well. Add the spinach and cook over medium heat for 5 minutes or so. Season to taste.",45,"frozen spinach, chopped,butter,bacon, cut into 1/2 inch dice,onions, chopped,flour,milk,nutmeg,beef stock base or a boullion cube",ounces,2,tbsp,10,slices,2,large,2,tbsp,1,cup,04-Jan,tsp,1,tsp,,,,,,,,,,,,,,,,,,,,,,,,Side Dish
Three Cheese Spinach,"Combine onions and mushrooms in small microwave-safe bowl. Microwave 1 to 3 minutes or until onions are soft. Place spinach in 1 1/2 quart microwave-safe casserole. Cover and microwave 6 to 9 minutes, breaking up and rearranging every 3 minutes, until defrosted. Drain well.

Add onion mixture to spinach, along with cottage cheese, parmesan cheese, eggs, salt and pepper. Stir well to blend. Microwave, uncovered, 8 to 11 minutes, rotating dish if necessary every 3 minutes, until misture is headted through and set.

Sprinkle grated cheese over top and dust lightly with paprika. Microwave about 1 minute longer to melt cheese. Let stand 3 minutes before serving.

Yields 6 to 8 servings.",02-Jan,"onion, chopped,mushroom stems and pieces, drained,frozen chopped spinach,low fat cottage cheese,grated parmesan cheese,eggs, lightly beaten,grated swiss cheese",medium,1,4 ounce can,2,10 ounce package,2,cups,03-Jan,cup,2,,,salt,,pepper,03-Jan,cup,,paprika,,,,,,,,,,,,,,,,,,,,Side Dish
Tulelake Potato Casserole,"Thaw potatoes. Mix first 8 ingredients. Put in 9"" x 13"" casserole dish. Top with cornflakes and melted butter mixture. Bake at 350 degrees for 50 minutes. Can be prepared ahead and frozen.",2,"frozen hashbrown potatoes, thawed,butter, melted,salt,pepper,dried onions or 1/2 cup fresh,cream of chcken soup,cheddar cheese, grated,sour cream,melted butter,cornflakes, crushed",packages,04-Jan,cup,1,teaspoon,02-Jan,teaspoon,3,tablespoons,1,can,2,cups,1 1/2,cups,04-Jan,cup,2,cups,,,,,,,,,,,,,,,,,,,,Side Dish
Zucchini Patties,"Courslet shred zucchini into a bowl. Press out water. Add rest of ingredients, except oil. Heat oil in skillet. Drop mixture by spoonfuls. Brown on both sides. May also be topped with spaghetti sauce.",5,"zucchini,eggs,parmesan cheese,garlic,flour,parsley,onion,salt,pepper,olive oil",medium,3,,1,tablesoon,1,clove,2,tablespoons,02-Jan,cup,02-Jan,cup,1,teaspoon,02-Jan,teaspoon,02-Jan,cup,,,,,,,,,,,,,,,,,,,,Side Dish
Apple Dumplings,"Make syrup from first 5 ingredients. Make crust - roll 1/4 inch thick. CUt in 5 inch squares. Put 4 pieces of apple on each. Sprinkle with additional sugar, cinnamon, and nutmeg. Dot with butter. Fold corners to center; pinch together. Place 1 inch apart in greased baking dish. Pour syrup on top. Bake 375 degrees for 35 minutes. Serve warm with cream. Makes 6.",2,"sugar,water,cinnamon,nutmeg,butter, melted,apples, peeled, cut in 1/4,flour,salt,baking powder,shortening,milk",cups,2,cups,04-Jan,teaspoon,02-Jan,teaspoon,02-Jan,cup,6,,2,cups,1,teaspoon,2,teaspoons,04-Mar,cup,02-Jan,cup,,,,,,,,,,,,,,,,,,Side Dish
